,age,job,marital,education,default,housing,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,duration,y_pred,y_proba
22363,53,Unskilled,married,Basic,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,195,0,0.292888433412
15476,35,Service,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,642,0,0.465528275183
13028,27,Service,single,Degree,no,yes,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,520,0,0.367839118795
10016,32,Professional,married,Mid,unknown,no,no,0,8,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,850,0,0.136779239809
10098,49,Service,married,Mid,unknown,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,128,0,0.243509046783
29959,53,Unskilled,married,Basic,no,yes,yes,1,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,208,1,0.573432674694
7474,24,Service,single,Degree,unknown,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,447,0,0.193799610957
13544,31,Service,divorced,Mid,no,no,no,1,6,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,128,0,0.276530906486
22979,44,Service,married,Degree,no,no,no,1,5,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,56,0,0.315581615759
13321,28,Unskilled,married,Basic,unknown,no,yes,1,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,98,0,0.237836523241
15044,49,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,124,0,0.348446086912
40190,54,Service,married,Degree,no,no,yes,1,5,2,failure,-1.7,94.215,-40.3,0.861,4991.6,0,84,1,0.802217048681
40819,31,Service,married,Degree,no,yes,no,1,2,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,232,1,0.966687804256
6065,45,Unskilled,single,Mid,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,643,0,0.229425691191
22232,45,Service,single,Degree,no,no,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,545,0,0.332926483057
35080,37,Service,married,Mid,no,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,22,1,0.525341785756
6912,47,Unskilled,single,Mid,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,54,0,0.237268660169
857,47,Unskilled,married,Degree,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,131,0,0.212651268188
35753,52,Service,divorced,Mid,no,yes,no,0,2,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0,54,0,0.123551332094
9590,54,Service,single,Mid,no,no,no,0,3,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,186,0,0.290827798083
3290,47,Unskilled,married,Mid,unknown,yes,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,221,0,0.152133910348
34533,26,Unskilled,single,Mid,no,no,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,294,1,0.539753376697
22846,37,Service,married,Degree,no,yes,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,121,0,0.350720428646
14181,38,Unskilled,married,Mid,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,90,0,0.259916365555
12005,52,Service,married,Mid,no,yes,yes,0,3,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,0,138,0,0.255792552615
37977,54,Service,married,Degree,no,no,no,1,1,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,0,99,1,0.88906668102
4559,43,Service,married,unknown,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,324,0,0.231463044611
22944,59,Professional,married,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,163,0,0.306868849014
5987,51,Unemployed,married,Degree,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,171,0,0.253314847075
11806,29,Unskilled,married,unknown,unknown,no,yes,0,5,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,55,0,0.126308468537
6245,34,Service,single,Degree,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,40,0,0.2824973477
16227,37,Student,single,unknown,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,661,0,0.453900545254
35751,38,Service,single,Mid,no,no,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,22,1,0.565846440458
10089,55,Professional,married,unknown,unknown,yes,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,278,0,0.146364756272
29632,56,Service,married,Basic,no,yes,yes,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,15,1,0.627017169938
37063,42,Unskilled,married,Basic,no,yes,no,1,1,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0,72,1,0.781335681984
31440,34,Service,married,Degree,no,no,no,0,4,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,149,0,0.320451177242
37493,81,Retired,married,Basic,no,no,no,1,2,1,success,-2.9,92.201,-31.4,0.873,5076.2,0,189,1,0.937338968334
23250,44,Service,divorced,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,157,0,0.295300838295
13415,25,Service,married,Degree,no,unknown,unknown,0,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,446,0,0.136015539773
26915,30,Service,married,Mid,no,no,no,1,2,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,361,0,0.278155503365
33666,29,Professional,single,Degree,no,yes,no,1,2,1,failure,-1.8,92.893,-46.2,1.281,5099.1,1,774,0,0.367644512498
25576,47,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,311,0,0.482487748371
40348,37,Service,single,Degree,no,yes,no,1,2,4,failure,-1.7,94.027,-38.3,0.899,4991.6,1,481,1,0.83976289311
36547,50,Service,single,Mid,no,unknown,unknown,1,1,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1,699,1,0.629756032969
33718,31,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,850,1,0.590384159546
39440,35,Service,married,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,1,176,1,0.901763259288
27129,29,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,140,0,0.473487604154
6112,53,Professional,married,Degree,no,no,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,202,0,0.23863186057
10329,29,Service,single,Mid,unknown,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,1298,0,0.219568705475
4325,45,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,253,0,0.180899973104
24079,39,Professional,married,Degree,no,yes,no,0,1,0,nonexistent,-0.1,93.2,-42.0,4.663,5195.8,1,204,0,0.221073077975
19565,41,Unemployed,divorced,Degree,unknown,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,122,0,0.185400868821
28924,55,Service,married,Basic,no,no,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,198,1,0.676802683085
2385,41,Service,single,Degree,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,122,0,0.31048227925
26749,30,Service,married,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,186,0,0.481222392731
27147,50,Unskilled,divorced,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,102,0,0.425310206493
8278,37,Professional,married,Degree,no,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,303,0,0.314438367137
20190,41,Professional,married,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,247,0,0.302217161798
14005,35,Service,married,Mid,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,213,0,0.396296202512
37330,58,Service,married,Degree,no,no,no,1,2,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,1,704,1,0.783239253196
24135,34,Service,single,Mid,no,no,no,1,1,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,303,0,0.285560653031
2757,48,Unskilled,married,Basic,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,158,0,0.240142990631
8814,30,Service,single,Degree,no,unknown,unknown,0,1,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,67,0,0.257924010253
40163,70,Retired,divorced,Basic,no,no,no,1,2,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,390,1,0.976584126078
37795,63,Service,married,unknown,no,yes,no,1,1,1,failure,-2.9,92.201,-31.4,0.838,5076.2,0,279,1,0.530068634001
26142,53,Unemployed,married,Mid,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,248,0,0.409780137971
3986,51,Unskilled,married,Basic,unknown,yes,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,792,0,0.156657702992
26938,33,Professional,single,Degree,no,no,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,2420,0,0.432441180644
28909,54,Professional,married,Mid,no,yes,yes,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,52,1,0.55952410041
9060,39,Unskilled,married,Basic,no,no,no,0,5,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,31,0,0.244460332387
40629,27,Service,single,Mid,no,no,yes,0,1,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,0,35,1,0.584701583943
26890,43,Service,married,Degree,no,no,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,75,1,0.508904742971
19651,36,Service,married,Mid,unknown,yes,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,165,0,0.21258284726
