,age,job,marital,education,default,housing,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,y_proba
41020,25,Student,single,Mid,no,yes,no,1,1,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.7
756,30,Service,married,Degree,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.183333333333
28062,45,Unskilled,married,Basic,unknown,yes,no,1,1,1,failure,-1.8,93.075,-47.1,1.479,5099.1,0,0.1
6314,55,Retired,married,Mid,no,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
12357,45,Unskilled,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0,0.0
12515,39,Service,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.0
23461,44,Service,married,Degree,no,yes,no,1,9,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.1
6108,34,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
32668,34,Service,married,Degree,no,yes,no,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,1,0.0
38202,63,Retired,married,Mid,no,yes,no,1,1,0,nonexistent,-3.4,92.431,-26.9,0.74,5017.5,0,0.625
2464,36,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
33789,24,Service,married,Mid,no,yes,no,1,1,1,success,-1.8,92.893,-46.2,1.281,5099.1,1,0.2
15983,24,Service,single,Mid,no,yes,no,0,3,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0.1
12893,37,Unskilled,single,Basic,no,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
24129,52,Service,divorced,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.0
27059,31,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.0
39196,41,Service,divorced,Degree,no,yes,no,1,2,3,success,-1.8,93.369,-34.8,0.653,5008.7,1,1.0
29731,60,Unskilled,married,Basic,unknown,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.1
27101,35,Service,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.3
4500,50,Service,single,Degree,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
27190,50,Service,married,Degree,no,yes,yes,1,2,1,failure,-0.1,93.2,-42.0,4.021,5195.8,0,0.1
3419,45,Unskilled,married,Basic,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
40576,33,Service,single,Degree,no,no,no,1,1,0,nonexistent,-1.1,94.199,-37.5,0.886,4963.6,0,0.5
26278,42,Professional,married,Degree,no,no,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.2
38246,77,Retired,married,Degree,no,no,yes,1,1,0,nonexistent,-3.4,92.431,-26.9,0.743,5017.5,1,0.3
1631,32,Service,married,Mid,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0.0
2990,43,Service,single,Mid,unknown,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
37777,57,Retired,married,Degree,no,yes,no,1,1,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,0,0.0
18428,47,Service,married,Mid,unknown,no,yes,0,5,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0,0.0
26095,44,Professional,married,Degree,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
32714,51,Professional,married,Degree,unknown,no,no,1,1,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,0.0
35636,28,Service,single,Mid,no,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.1
18183,36,Service,married,Mid,no,yes,no,1,13,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.2
216,30,Unskilled,single,unknown,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
13328,30,Service,married,Degree,no,yes,no,0,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
24444,32,Service,single,Mid,no,yes,no,1,1,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,0.0
25602,43,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.6
3445,40,Unskilled,single,Basic,unknown,no,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.1
33317,41,Professional,married,Mid,unknown,yes,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0.0
13282,44,Service,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
4243,46,Unskilled,married,Basic,no,yes,yes,0,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.05
13926,36,Service,single,Mid,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
3270,46,Unskilled,single,Basic,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
34279,31,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.5
34151,56,Unskilled,married,Basic,no,yes,yes,1,2,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.5
18143,25,Service,single,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.35
26517,53,Professional,married,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.3
8085,49,Unskilled,married,Basic,unknown,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.0
27441,40,Professional,married,Mid,no,yes,no,1,4,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.0
41031,25,Student,single,Mid,no,yes,no,1,1,4,success,-1.1,94.601,-49.5,1.032,4963.6,0,0.8
25158,40,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0.1
26621,31,Unemployed,single,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
38324,28,Service,married,Mid,no,yes,no,0,1,1,failure,-3.4,92.431,-26.9,0.739,5017.5,1,0.4
8231,35,Unskilled,married,Mid,no,yes,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.0
28107,44,Professional,divorced,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,0,0.1
11011,42,Service,married,Basic,no,yes,no,0,3,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,0.0
532,41,Unskilled,married,Basic,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
11511,60,Retired,divorced,Degree,no,yes,no,0,4,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.0
22236,29,Service,single,Mid,no,yes,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.0
36852,53,Unskilled,married,Basic,no,yes,no,1,2,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,1,0.5
38578,60,Service,married,Basic,no,yes,no,1,6,2,failure,-3.4,92.431,-26.9,0.722,5017.5,0,0.5
10646,45,Service,divorced,Degree,unknown,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.2
29822,52,Professional,married,Mid,no,yes,yes,0,5,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
16548,49,Professional,divorced,Degree,no,no,yes,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.0
2000,42,Professional,married,Degree,no,yes,no,0,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
28517,45,Unskilled,married,Mid,unknown,yes,no,1,4,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0,0.0
17075,42,Service,single,Mid,no,no,yes,1,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
6330,28,Professional,married,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
29675,33,Unskilled,married,Mid,no,no,no,1,2,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.1
18294,38,Service,married,unknown,no,yes,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.6
23558,46,Service,married,Degree,no,yes,no,1,14,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.1
7945,54,Service,married,Mid,unknown,yes,no,0,12,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.0
23678,45,Service,divorced,Degree,no,no,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.0
11335,38,Service,married,Mid,no,yes,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
729,24,Service,single,Degree,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
20940,31,Service,married,Degree,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.13619047619
4168,29,Service,married,Degree,no,yes,no,0,42,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
33960,38,Unskilled,divorced,Degree,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0.2
11096,31,Service,single,Degree,unknown,no,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
4009,35,Service,married,Degree,no,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.0
22492,54,Unskilled,married,unknown,unknown,yes,yes,1,1,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
6222,36,Service,married,Mid,unknown,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
25749,44,Service,married,Mid,no,no,no,1,1,1,failure,-0.1,93.2,-42.0,4.12,5195.8,0,0.2
22363,53,Unskilled,married,Basic,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
15476,35,Service,married,Degree,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.1
13028,27,Service,single,Degree,no,yes,yes,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
10016,32,Professional,married,Mid,unknown,no,no,0,8,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.0
10098,49,Service,married,Mid,unknown,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,0.0
29959,53,Unskilled,married,Basic,no,yes,yes,1,2,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
7474,24,Service,single,Degree,unknown,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0.1
13544,31,Service,divorced,Mid,no,no,no,1,6,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.1
22979,44,Service,married,Degree,no,no,no,1,5,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.0
13321,28,Unskilled,married,Basic,unknown,no,yes,1,2,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
15044,49,Service,divorced,Mid,no,no,no,1,1,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0.0
40190,54,Service,married,Degree,no,no,yes,1,5,2,failure,-1.7,94.215,-40.3,0.861,4991.6,0,0.7
40819,31,Service,married,Degree,no,yes,no,1,2,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.6
6065,45,Unskilled,single,Mid,no,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
22232,45,Service,single,Degree,no,no,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
35080,37,Service,married,Mid,no,yes,no,1,6,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0.4
6912,47,Unskilled,single,Mid,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.1
857,47,Unskilled,married,Degree,unknown,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
35753,52,Service,divorced,Mid,no,yes,no,0,2,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0,0.1
9590,54,Service,single,Mid,no,no,no,0,3,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0.0
3290,47,Unskilled,married,Mid,unknown,yes,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0.0
34533,26,Unskilled,single,Mid,no,no,no,1,2,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0.1
22846,37,Service,married,Degree,no,yes,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.0
14181,38,Unskilled,married,Mid,unknown,no,no,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
12005,52,Service,married,Mid,no,yes,yes,0,3,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,0,0.4
37977,54,Service,married,Degree,no,no,no,1,1,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,0,0.6
4559,43,Service,married,unknown,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
22944,59,Professional,married,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.1
5987,51,Unemployed,married,Degree,no,no,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
11806,29,Unskilled,married,unknown,unknown,no,yes,0,5,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0.1
6245,34,Service,single,Degree,no,yes,no,0,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
16227,37,Student,single,unknown,no,yes,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0.0
35751,38,Service,single,Mid,no,no,no,1,3,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0.0
10089,55,Professional,married,unknown,unknown,yes,yes,0,1,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,0.0
29632,56,Service,married,Basic,no,yes,yes,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.1
37063,42,Unskilled,married,Basic,no,yes,no,1,1,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,0,0.1
31440,34,Service,married,Degree,no,no,no,0,4,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,0,0.0
37493,81,Retired,married,Basic,no,no,no,1,2,1,success,-2.9,92.201,-31.4,0.873,5076.2,0,0.7
23250,44,Service,divorced,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
13415,25,Service,married,Degree,no,unknown,unknown,0,1,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
26915,30,Service,married,Mid,no,no,no,1,2,1,failure,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
33666,29,Professional,single,Degree,no,yes,no,1,2,1,failure,-1.8,92.893,-46.2,1.281,5099.1,1,0.0
25576,47,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
40348,37,Service,single,Degree,no,yes,no,1,2,4,failure,-1.7,94.027,-38.3,0.899,4991.6,1,0.1
36547,50,Service,single,Mid,no,unknown,unknown,1,1,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1,0.5
33718,31,Service,single,Mid,no,yes,no,1,1,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0.1
39440,35,Service,married,Degree,no,yes,no,1,1,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,1,1.0
27129,29,Service,married,Mid,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.45
6112,53,Professional,married,Degree,no,no,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
10329,29,Service,single,Mid,unknown,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,0.1
4325,45,Unskilled,married,Mid,unknown,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
24079,39,Professional,married,Degree,no,yes,no,0,1,0,nonexistent,-0.1,93.2,-42.0,4.663,5195.8,1,0.4
19565,41,Unemployed,divorced,Degree,unknown,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,0.0
28924,55,Service,married,Basic,no,no,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
2385,41,Service,single,Degree,no,yes,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
26749,30,Service,married,Mid,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
27147,50,Unskilled,divorced,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0.1
8278,37,Professional,married,Degree,no,no,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0.0
20190,41,Professional,married,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0.0
14005,35,Service,married,Mid,no,no,no,1,2,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0.1
37330,58,Service,married,Degree,no,no,no,1,2,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,1,0.2
24135,34,Service,single,Mid,no,no,no,1,1,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,0.1
2757,48,Unskilled,married,Basic,no,yes,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.0
8814,30,Service,single,Degree,no,unknown,unknown,0,1,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.0
40163,70,Retired,divorced,Basic,no,no,no,1,2,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,0.9
37795,63,Service,married,unknown,no,yes,no,1,1,1,failure,-2.9,92.201,-31.4,0.838,5076.2,0,0.1
26142,53,Unemployed,married,Mid,no,yes,no,1,2,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
3986,51,Unskilled,married,Basic,unknown,yes,no,0,4,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0.1
26938,33,Professional,single,Degree,no,no,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.2
28909,54,Professional,married,Mid,no,yes,yes,1,1,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0.4
9060,39,Unskilled,married,Basic,no,no,no,0,5,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0.0
40629,27,Service,single,Mid,no,no,yes,0,1,0,nonexistent,-1.1,94.199,-37.5,0.882,4963.6,0,0.1
26890,43,Service,married,Degree,no,no,no,1,3,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0.0
19651,36,Service,married,Mid,unknown,yes,no,1,3,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0,0.0
9254,42,Service,married,Mid,no,no,no,0,2,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.1
9267,41,Unskilled,married,Mid,unknown,yes,no,0,1,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0.15
28238,39,Service,married,Basic,no,no,no,1,3,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.1
30626,51,Unemployed,married,Mid,no,no,no,1,5,1,success,-1.8,92.893,-46.2,1.354,5099.1,0,0.5
25837,32,Service,married,Degree,no,yes,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0.0
24965,47,Service,married,Mid,no,yes,no,1,1,1,failure,-0.1,93.2,-42.0,4.153,5195.8,0,0.0
15572,39,Unskilled,married,Mid,no,yes,yes,0,5,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0.0
18917,52,Unskilled,married,Mid,no,yes,no,1,1,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0,0.1
7775,38,Service,married,Mid,unknown,yes,no,0,7,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0.0
657,56,Professional,married,Degree,unknown,no,yes,0,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0.0
23505,33,Service,married,Degree,no,yes,no,1,5,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0.0
21272,52,Service,divorced,Degree,no,no,no,1,2,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0.0
14240,27,Unskilled,single,Mid,no,unknown,unknown,1,3,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0.0
24203,53,Unemployed,married,Degree,no,unknown,unknown,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.0
40467,51,Unskilled,married,Mid,no,yes,no,1,1,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0.9
2830,52,Unskilled,married,Basic,unknown,yes,yes,0,1,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0.2
943,55,Unskilled,married,Basic,unknown,no,no,0,2,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.5
4215,36,Service,married,Degree,no,no,no,0,1,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0.0
30156,21,Service,single,Mid,no,no,no,1,1,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,0,0.7
23363,46,Unskilled,married,Basic,no,no,yes,1,14,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0.0
29526,34,Unskilled,married,Mid,unknown,no,yes,1,5,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,0.0
24387,33,Service,single,Degree,no,no,no,1,1,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0.4
